Age [ka BP],Mo [ppm],U [ppm],ID,Core,t_transition_start,t_transition_end,tsid
9.38302,9.03801517,5.359581074,S1,MS21,10.5,9.7,1
9.38821,13.45624175,4.029353046,S1,MS21,10.5,9.7,1
9.39343,11.06853,6.930360792,S1,MS21,10.5,9.7,1
9.39865,10.09603524,12.56265488,S1,MS21,10.5,9.7,1
9.40387,13.71599742,12.50914688,S1,MS21,10.5,9.7,1
9.40909,9.118270393,2.007388866,S1,MS21,10.5,9.7,1
9.41428,8.22282819,7.945844823,S1,MS21,10.5,9.7,1
9.41944,12.54016616,10.22042615,S1,MS21,10.5,9.7,1
9.4246,10.66575882,2.968254329,S1,MS21,10.5,9.7,1
9.42976,11.40996675,9.191515179,S1,MS21,10.5,9.7,1
9.43492,10.62924176,9.320949014,S1,MS21,10.5,9.7,1
9.44007,19.04547773,8.125895771,S1,MS21,10.5,9.7,1
9.44521,9.201295612,5.958178124,S1,MS21,10.5,9.7,1
9.45035,13.68086747,13.00353832,S1,MS21,10.5,9.7,1
9.45549,10.34369193,6.064928712,S1,MS21,10.5,9.7,1
9.46063,12.82045686,10.64450553,S1,MS21,10.5,9.7,1
9.46577,10.65890508,12.84464857,S1,MS21,10.5,9.7,1
9.47091,9.86166477,6.276032606,S1,MS21,10.5,9.7,1
9.47605,9.932888651,5.636828073,S1,MS21,10.5,9.7,1
9.48119,11.38244717,5.266873708,S1,MS21,10.5,9.7,1
9.48633,10.4230048,6.958387985,S1,MS21,10.5,9.7,1
9.4915,6.135637073,5.135290302,S1,MS21,10.5,9.7,1
9.4967,4.355459146,6.292390249,S1,MS21,10.5,9.7,1
9.5019,8.675539183,8.397980723,S1,MS21,10.5,9.7,1
9.5071,7.900565609,12.41784951,S1,MS21,10.5,9.7,1
9.5123,8.754658784,5.371474486,S1,MS21,10.5,9.7,1
9.51749,9.255458545,11.28683689,S1,MS21,10.5,9.7,1
9.52267,8.841451355,10.24533922,S1,MS21,10.5,9.7,1
9.52785,6.46769174,4.668391967,S1,MS21,10.5,9.7,1
9.53303,10.00809727,9.21865457,S1,MS21,10.5,9.7,1
9.53821,6.553219492,6.630413438,S1,MS21,10.5,9.7,1
9.54344,9.294111627,5.324441526,S1,MS21,10.5,9.7,1
9.54872,8.225419368,11.28769706,S1,MS21,10.5,9.7,1
9.554,5.130103923,4.968431198,S1,MS21,10.5,9.7,1
9.55928,12.00045671,6.751633047,S1,MS21,10.5,9.7,1
