Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
6.892,0.410,66823,351,10,5067,4
6.901,0.411,67930,372,6,4867,9
6.909,0.412,68988,370,8,5107,8
6.917,0.413,69580,404,6,5199,8
6.925,0.414,69180,334,6,5157,8
6.933,0.415,70596,370,7,5327,6
6.941,0.416,70989,345,6,5350,12
6.949,0.417,70267,371,8,5220,8
6.957,0.418,70361,329,7,5379,10
6.965,0.419,70499,301,5,5385,6
6.973,0.420,70850,339,4,5268,6
6.981,0.421,71944,376,7,5247,10
6.990,0.422,68686,369,7,5133,9
6.998,0.423,69975,361,8,5330,13
7.006,0.424,69511,394,7,5244,13
7.014,0.425,67285,384,5,5079,6
7.022,0.426,69047,436,7,5095,8
7.030,0.427,67166,395,6,4969,10
7.038,0.428,71110,426,8,5301,11
7.046,0.429,71537,441,8,5270,9
7.054,0.430,73330,439,8,5318,7
7.062,0.431,68017,345,6,5087,8
7.070,0.432,67537,380,7,5004,7
7.078,0.433,68712,434,7,5076,9
7.086,0.434,65753,432,5,4887,5
7.094,0.435,67095,414,6,4961,8
7.102,0.436,68090,421,6,5019,15
7.110,0.437,70380,449,8,5218,8
7.118,0.438,65494,397,7,4855,7
7.126,0.439,65986,374,8,4850,6
7.134,0.440,66733,384,7,4993,14
7.142,0.441,66062,315,7,5011,6
7.150,0.442,67246,364,5,4996,8
7.158,0.443,67568,385,8,5026,9
7.166,0.444,67752,356,10,5050,10
7.174,0.445,66779,340,7,5054,5
7.182,0.446,67765,358,5,5006,14
7.191,0.447,63766,341,5,4851,4
7.198,0.448,65424,301,5,5008,6
7.206,0.449,65977,246,7,5188,5
7.213,0.450,67809,308,6,5248,9
7.221,0.451,68310,345,7,5203,8
7.228,0.452,66187,333,7,4983,10
7.235,0.453,68860,290,7,5219,7
7.242,0.454,69738,329,6,5139,5
7.249,0.455,67310,344,8,5072,7
7.256,0.456,67751,344,8,5005,9
7.263,0.457,70353,372,7,5190,8
7.270,0.458,72491,318,9,5403,10
7.277,0.459,72523,295,5,5467,8
7.285,0.460,71684,287,10,5299,7
7.292,0.461,72306,382,8,5534,9
7.299,0.462,73042,371,6,5424,10
7.306,0.463,73092,420,9,5408,11
7.313,0.464,71935,286,7,5554,6
7.320,0.465,74013,315,4,5658,6
7.327,0.466,73848,337,7,5706,9
7.334,0.467,74219,374,8,5595,9
7.341,0.468,72979,333,9,5626,10
7.348,0.469,73370,301,9,5712,5
7.355,0.470,72122,382,8,5604,12
7.362,0.471,74014,310,6,5685,7
7.370,0.472,73212,379,7,5644,8
7.377,0.473,72892,285,5,5579,7
7.440,0.482,73728,373,8,5755,6
7.448,0.483,77060,429,8,5693,15
7.455,0.484,75122,337,11,6086,10
7.462,0.485,76363,359,11,6141,13
7.469,0.486,77583,378,7,6162,10
7.476,0.487,78816,417,11,5950,11
7.483,0.488,78282,370,8,6164,5
7.490,0.489,76312,348,6,5958,7
7.497,0.490,76001,467,8,5792,6
7.504,0.491,75472,340,6,5950,8
7.511,0.492,75466,353,7,5952,11
7.518,0.493,78829,340,7,6160,7
7.525,0.494,77477,330,8,6119,8
7.533,0.495,79461,348,10,6147,9
7.540,0.496,82761,340,11,6279,16
7.547,0.497,78788,484,9,6149,12
7.554,0.498,79056,394,11,6110,7
7.561,0.499,80541,373,11,6299,6
7.569,0.500,83043,384,8,6376,8
7.576,0.501,83724,415,14,6153,11
7.583,0.502,79370,380,7,6170,13
7.591,0.503,81118,349,8,6243,11
7.599,0.504,81994,428,10,6364,6
7.607,0.505,82118,336,12,6464,15
7.614,0.506,78933,452,9,6118,8
7.622,0.507,80886,367,11,6228,10
7.630,0.508,81180,427,12,6232,7
7.638,0.509,78839,388,11,6075,7
7.646,0.510,78401,413,13,6037,5
7.654,0.511,77451,427,12,5775,8
7.662,0.512,77583,301,8,6152,4
7.670,0.513,81128,337,9,6319,12
7.677,0.514,78578,320,6,6138,9
7.685,0.515,79447,403,9,6125,13
7.693,0.516,80188,366,10,6162,11
7.701,0.517,82500,375,8,6297,8
7.709,0.518,80769,404,10,5993,5
7.717,0.519,78473,400,9,6226,7
7.725,0.520,80731,291,12,6343,7
7.733,0.521,79887,392,14,6020,12
7.741,0.522,80462,409,9,6015,6
7.748,0.523,77951,303,11,6038,8
7.756,0.524,75576,342,10,5757,6
7.764,0.525,75693,382,16,5764,8
7.772,0.526,75447,299,13,5921,8
7.780,0.527,75959,305,13,5725,8
7.788,0.528,77960,364,12,5657,7
7.796,0.529,77400,270,12,5814,9
7.804,0.530,74256,266,12,5771,4
7.811,0.531,71515,264,14,5370,8
7.819,0.532,72545,269,15,5556,7
7.827,0.533,74415,236,10,5773,2
7.835,0.534,75693,262,11,5852,6
7.843,0.535,77022,296,8,5873,5
7.851,0.536,76282,266,15,6081,5
7.859,0.537,74885,224,17,5965,6
7.867,0.538,72909,218,18,5858,6
7.875,0.539,71987,271,19,5882,6
7.883,0.540,71972,332,32,5702,2
7.891,0.541,72616,326,26,5614,4
7.899,0.542,72811,422,18,5648,10
7.906,0.543,74567,414,11,5686,8
7.914,0.544,74746,352,8,5892,6
7.922,0.545,74446,395,18,5765,10
7.930,0.546,72061,322,14,5689,9
7.938,0.547,73252,394,19,5582,10
7.946,0.548,71929,434,16,5467,6
7.953,0.549,71934,475,11,5566,7
7.960,0.550,70312,458,15,5578,10
7.968,0.551,69817,511,19,5431,10
7.975,0.552,71186,498,18,5528,11
7.982,0.553,72831,425,17,5822,15
7.989,0.554,76317,475,18,5694,5
7.996,0.555,78205,462,12,5888,8
8.003,0.556,80995,503,14,6066,7
8.010,0.557,83077,353,8,6421,9
8.016,0.558,82038,311,14,6374,7
8.023,0.559,80607,392,13,6198,8
8.030,0.560,79811,447,13,6069,9
8.037,0.561,79016,446,17,5920,10
8.044,0.562,76429,405,10,6048,5
8.051,0.563,76019,407,12,5822,4
8.058,0.564,75474,413,11,5756,6
8.065,0.565,78197,410,11,6142,8
8.071,0.566,80964,359,13,6288,7
8.078,0.567,81035,362,12,6286,5
8.085,0.568,79863,460,13,6145,7
8.092,0.569,75396,460,12,5793,7
8.099,0.570,73294,413,9,5519,8
8.106,0.571,78737,404,10,5818,10
8.113,0.572,79918,331,9,6085,9
8.120,0.573,77540,306,9,6078,3
8.126,0.574,79673,361,12,6035,4
8.133,0.575,79695,372,10,6015,4
8.140,0.576,82054,398,10,6016,5
8.147,0.577,80840,360,12,6038,4
8.154,0.578,78260,332,12,5866,4
8.161,0.579,79721,298,12,6206,6
8.168,0.580,79338,350,10,5909,12
8.175,0.581,80805,507,14,5974,10
8.182,0.582,81373,379,9,6208,3
8.189,0.583,80883,421,14,6032,14
8.196,0.584,80814,433,12,6111,9
8.203,0.585,80533,357,13,6070,7
8.210,0.586,79992,444,10,6072,7
8.217,0.587,76870,342,11,5952,6
8.224,0.588,81341,447,13,6068,12
8.231,0.589,80300,355,9,6326,8
8.238,0.590,80894,416,12,6097,11
8.245,0.591,82486,421,18,6219,7
8.252,0.592,80808,383,12,6182,8
8.259,0.593,82035,346,10,6304,7
8.266,0.594,81773,359,15,6360,10
8.273,0.595,81725,343,17,6275,6
8.280,0.596,81700,369,10,6354,7
8.286,0.597,81261,348,11,6266,7
8.293,0.598,82192,424,10,6131,7
8.299,0.599,81513,370,15,6272,7
8.305,0.600,80001,300,10,6046,4
8.311,0.601,81298,348,12,6136,8
8.317,0.602,78884,348,13,6281,4
8.323,0.603,80801,355,11,6353,7
8.328,0.604,80030,363,13,6038,4
8.334,0.605,82909,293,8,6490,7
8.339,0.606,83102,426,15,6293,6
8.345,0.607,80198,452,14,6180,8
8.350,0.608,77563,349,10,5760,4
8.355,0.609,82242,433,7,6153,10
8.361,0.610,82694,289,7,6520,7
8.366,0.611,83859,273,7,6732,5
8.372,0.612,83234,281,9,6525,6
8.377,0.613,84203,310,10,6540,4
8.382,0.614,81714,321,9,6431,7
8.388,0.615,82323,334,11,6427,6
8.393,0.616,85135,336,12,6512,10
8.398,0.617,82494,343,12,6442,7
8.404,0.618,84544,350,11,6450,5
8.409,0.619,79921,270,7,6331,5
8.414,0.620,83161,277,12,6511,10
8.420,0.621,82890,285,12,6630,6
8.425,0.622,83384,328,11,6543,6
8.430,0.623,82555,353,13,6517,6
8.435,0.624,84085,352,11,6449,9
8.441,0.625,81759,354,8,6363,7
8.446,0.626,83688,323,13,6372,10
8.451,0.627,81804,330,10,6259,7
8.457,0.628,82077,474,12,6108,12
8.462,0.629,81001,365,10,6135,6
8.467,0.630,82869,374,12,6256,8
8.472,0.631,83574,376,14,6170,9
8.478,0.632,85752,355,11,6556,6
8.483,0.633,82054,386,13,6475,4
8.488,0.634,81071,321,10,6534,7
8.493,0.635,80000,308,11,6314,8
8.499,0.636,78758,343,8,6126,5
8.504,0.637,80442,292,9,6193,3
8.509,0.638,82366,301,10,6264,6
8.514,0.639,78325,292,7,6283,4
8.520,0.640,79094,406,9,6075,5
8.525,0.641,74239,331,8,5930,4
